,PRC,BDR,SFA,BDA,ELY,GRG,CFT,PRV,PPM,IPM
357,650000000,4.0,60,65,1300,1,1,0,10830000,3220000
364,724000000,3.0,60,55,2200,1,1,0,12080000,3590000
365,695000000,3.0,60,45,2200,1,1,0,11580000,3440000
366,399000000,3.0,60,45,1300,1,1,0,6650000,1970000
368,725000000,3.0,60,55,2200,1,1,0,12080000,3590000
370,580000000,3.0,60,61,1300,1,1,0,9670000,2870000
372,500000000,2.0,60,55,1300,0,1,0,8330000,2470000
374,695000000,2.0,76,55,2200,1,1,0,9140000,3440000
375,695000000,2.0,76,55,2200,1,1,0,9140000,3440000
376,695000000,2.0,76,55,2200,1,1,0,9140000,3440000
377,265000000,2.0,90,36,1300,1,1,0,2940000,1310000
378,543000000,2.0,61,31,1300,1,1,0,8910000,2690000
379,450000000,3.0,60,45,1300,1,1,0,7500000,2230000
384,717000000,2.0,80,55,2200,0,1,0,8960000,3550000
386,152000000,2.0,60,42,1300,1,1,0,2530000,752010
387,158000000,2.0,60,42,1300,1,1,0,2630000,781700
391,152000000,2.0,60,38,1300,1,1,0,2530000,752010
393,690000000,3.0,66,76,3500,1,1,0,10450000,3410000
394,650000000,3.0,60,50,1300,1,1,0,10830000,3220000
399,650000000,3.0,60,50,1300,1,1,0,10830000,3220000
400,168000000,2.0,60,42,1300,1,1,0,2800000,831170
428,600000000,3.0,60,50,2200,1,1,0,10000000,2970000
436,600000000,3.0,60,50,2200,1,1,0,10000000,2970000
438,600000000,3.0,60,50,2200,1,1,0,10000000,2970000
440,600000000,3.0,60,50,2200,1,1,0,10000000,2970000
443,600000000,3.0,60,50,2200,1,1,0,10000000,2970000
446,600000000,3.0,60,50,2200,1,1,0,10000000,2970000
449,600000000,3.0,60,50,2200,1,1,0,10000000,2970000
450,600000000,3.0,60,50,2200,1,1,0,10000000,2970000
452,600000000,3.0,60,50,2200,1,1,0,10000000,2970000
453,600000000,3.0,60,50,2200,1,1,0,10000000,2970000
455,600000000,3.0,60,50,2200,1,1,0,10000000,2970000
456,600000000,3.0,60,50,2200,1,1,0,10000000,2970000
457,600000000,3.0,60,50,2200,1,1,0,10000000,2970000
458,600000000,3.0,60,50,2200,1,1,0,10000000,2970000
462,600000000,3.0,60,50,2200,1,1,0,10000000,2970000
463,600000000,3.0,60,50,2200,1,1,0,10000000,2970000
